view,view_position,asset_id,entity,entity_type,current_price,production_ev,shadow_normal_ev,shadow_sprint_bonus,shadow_sprint_ev,shadow_personal_mean_bonus,shadow_personal_weight,shadow_group_bonus,shadow_strength,shadow_valid_race_count,shadow_minus_production,baseline_difference,production_points_per_million,shadow_points_per_million,production_rank,shadow_rank,rank_change,absolute_rank_change
positive_ev_difference,5,2640,Audi,constructor,6.800000000000,13.192058850992,15.324574894445,7.572775950164,22.897350844610,,,7.572775950164,0.409090909091,10,9.705291993617,2.132516043453,1.940008654558,3.367257477148,8,7,1,1
positive_ev_difference,6,29,Red Bull Racing,constructor,30.900000000000,56.929592252131,49.266341511377,14.204504094631,63.470845606009,,,14.204504094631,0.818181818182,11,6.541253353878,-7.663250740753,1.842381626283,2.054072673334,4,3,1,1
positive_ev_difference,7,210,Williams,constructor,13.000000000000,11.613246107301,8.958122907053,6.467487926087,15.425610833140,,,6.467487926087,0.340909090909,10,3.812364725838,-2.655123200248,0.893326623639,1.186585448703,9,9,0,0
positive_ev_difference,8,26,Haas F1 Team,constructor,12.000000000000,17.088345332664,13.858877925631,6.835917267446,20.694795193077,,,6.835917267446,0.363636363636,11,3.606449860413,-3.229467407033,1.424028777722,1.724566266090,7,8,-1,1
positive_ev_difference,9,27,McLaren,constructor,31.000000000000,58.295061137619,46.786163814678,13.467645411913,60.253809226591,,,13.467645411913,0.772727272727,11,1.958748088972,-11.508897322941,1.880485843149,1.943671265374,3,4,-1,1
positive_ev_difference,10,2641,Cadillac,constructor,3.000000000000,-11.109852740902,-12.057538630621,2.414765171135,-9.642773459487,,,2.414765171135,0.090909090909,11,1.467079281415,-0.947685889719,-3.703284246967,-3.214257819829,11,11,0,0
positive_ev_difference,11,24,Aston Martin,constructor,5.700000000000,8.734088382716,-1.860094578206,3.888482536572,2.028387958365,,,3.888482536572,0.181818181818,11,-6.705700424351,-10.594182960923,1.532296207494,0.355857536555,10,10,0,0
absolute_rank_change,1,2640,Audi,constructor,6.800000000000,13.192058850992,15.324574894445,7.572775950164,22.897350844610,,,7.572775950164,0.409090909091,10,9.705291993617,2.132516043453,1.940008654558,3.367257477148,8,7,1,1
absolute_rank_change,2,29,Red Bull Racing,constructor,30.900000000000,56.929592252131,49.266341511377,14.204504094631,63.470845606009,,,14.204504094631,0.818181818182,11,6.541253353878,-7.663250740753,1.842381626283,2.054072673334,4,3,1,1
absolute_rank_change,3,26,Haas F1 Team,constructor,12.000000000000,17.088345332664,13.858877925631,6.835917267446,20.694795193077,,,6.835917267446,0.363636363636,11,3.606449860413,-3.229467407033,1.424028777722,1.724566266090,7,8,-1,1
absolute_rank_change,4,27,McLaren,constructor,31.000000000000,58.295061137619,46.786163814678,13.467645411913,60.253809226591,,,13.467645411913,0.772727272727,11,1.958748088972,-11.508897322941,1.880485843149,1.943671265374,3,4,-1,1
absolute_rank_change,5,28,Mercedes,constructor,32.600000000000,64.833054756895,66.824888027681,17.151938825506,83.976826853186,,,17.151938825506,1.000000000000,11,19.143772096291,1.991833270785,1.988744010948,2.575976283840,1,1,0,0
absolute_rank_change,6,2636,Racing Bulls,constructor,12.900000000000,25.017990311329,31.014678541800,10.520210681039,41.534889222839,,,10.520210681039,0.590909090909,11,16.516898911510,5.996688230471,1.939379093901,3.219758854484,5,5,0,0
absolute_rank_change,7,25,Ferrari,constructor,26.600000000000,62.914358551279,64.049216606441,14.941362777350,78.990579383791,,,14.941362777350,0.863636363636,11,16.076220832511,1.134858055161,2.365201449296,2.969570653526,2,2,0,0
absolute_rank_change,8,23,Alpine,constructor,18.800000000000,22.162966725701,25.640667553010,10.151781339679,35.792448892689,,,10.151781339679,0.568181818182,11,13.629482166989,3.477700827309,1.178881208814,1.903853664505,6,6,0,0
absolute_rank_change,9,210,Williams,constructor,13.000000000000,11.613246107301,8.958122907053,6.467487926087,15.425610833140,,,6.467487926087,0.340909090909,10,3.812364725838,-2.655123200248,0.893326623639,1.186585448703,9,9,0,0
absolute_rank_change,10,2641,Cadillac,constructor,3.000000000000,-11.109852740902,-12.057538630621,2.414765171135,-9.642773459487,,,2.414765171135,0.090909090909,11,1.467079281415,-0.947685889719,-3.703284246967,-3.214257819829,11,11,0,0
absolute_rank_change,11,24,Aston Martin,constructor,5.700000000000,8.734088382716,-1.860094578206,3.888482536572,2.028387958365,,,3.888482536572,0.181818181818,11,-6.705700424351,-10.594182960923,1.532296207494,0.355857536555,10,10,0,0
